"Date","Price","Open","High","Low","Change %"
"Dec 06, 2015","4.5374","4.3758","4.5476","4.3407","3.71%"
"Nov 29, 2015","4.3751","4.4003","4.4177","4.2969","-0.51%"
"Nov 22, 2015","4.3977","4.2991","4.4297","4.2919","2.23%"
"Nov 15, 2015","4.3018","4.3685","4.3960","4.2923","-1.39%"
"Nov 08, 2015","4.3624","4.3846","4.4215","4.3448","-0.57%"
"Nov 01, 2015","4.3873","4.5007","4.5092","4.2560","-2.45%"
"Oct 25, 2015","4.4977","4.4084","4.5139","4.4081","1.00%"
"Oct 18, 2015","4.4531","4.4695","4.5036","4.4006","-0.23%"
"Oct 11, 2015","4.4635","4.4662","4.5338","4.4438","0.16%"
"Oct 04, 2015","4.4562","4.5354","4.5739","4.4348","-1.85%"
"Sep 27, 2015","4.5403","4.6244","4.6607","4.5316","-1.84%"
"Sep 20, 2015","4.6255","4.6727","4.7059","4.5848","-0.90%"
"Sep 13, 2015","4.6674","4.7023","4.7458","4.6113","-0.71%"
"Sep 06, 2015","4.7006","4.5483","4.7196","4.5483","3.02%"
"Aug 30, 2015","4.5626","4.5016","4.5828","4.4592","1.38%"
"Aug 23, 2015","4.5004","4.5854","4.7012","4.4653","-1.77%"
"Aug 16, 2015","4.5815","4.4368","4.6886","4.4204","3.41%"
"Aug 09, 2015","4.4306","4.3074","4.4417","4.2965","2.84%"
"Aug 02, 2015","4.3083","4.3240","4.3629","4.2839","-0.49%"
"Jul 26, 2015","4.3294","4.2517","4.3657","4.2435","1.93%"
"Jul 19, 2015","4.2473","4.1397","4.2677","4.1368","2.58%"
"Jul 12, 2015","4.1405","4.1482","4.1636","4.0690","0.01%"
"Jul 05, 2015","4.1402","4.1765","4.2283","4.1002","-1.10%"
"Jun 28, 2015","4.1861","4.1833","4.2618","4.1752","-0.28%"
"Jun 21, 2015","4.1978","4.2812","4.2893","4.1654","-1.94%"
"Jun 14, 2015","4.2809","4.2217","4.3286","4.2213","1.43%"
"Jun 07, 2015","4.2207","4.0658","4.2886","4.0604","3.82%"
"May 31, 2015","4.0655","4.0682","4.1742","4.0534","-0.16%"
"May 24, 2015","4.0719","4.0231","4.0919","4.0094","1.14%"
"May 17, 2015","4.0260","4.0486","4.0857","3.9783","-0.60%"
"May 10, 2015","4.0501","4.1572","4.2313","4.0478","-2.78%"
"May 03, 2015","4.1660","4.1104","4.1795","4.0665","1.61%"
"Apr 26, 2015","4.1001","4.1391","4.1532","4.0569","-0.55%"
"Apr 19, 2015","4.1228","4.0192","4.1518","3.9865","2.89%"
"Apr 12, 2015","4.0070","3.8378","4.0489","3.8348","4.18%"
"Apr 05, 2015","3.8462","3.8340","3.8872","3.8190","0.23%"
"Mar 29, 2015","3.8375","3.8844","3.8929","3.8138","-1.18%"
"Mar 22, 2015","3.8834","3.8521","3.9030","3.7851","0.95%"
"Mar 15, 2015","3.8469","3.8910","3.9072","3.8143","-1.17%"
"Mar 08, 2015","3.8923","3.9527","3.9901","3.8411","-1.37%"
"Mar 01, 2015","3.9463","3.8771","4.0023","3.8514","1.92%"
"Feb 22, 2015","3.8721","3.7774","3.9025","3.7663","2.52%"
"Feb 15, 2015","3.7771","3.7847","3.8083","3.7489","-0.22%"
"Feb 08, 2015","3.7854","3.7696","3.8319","3.7590","0.36%"
"Feb 01, 2015","3.7717","3.6895","3.7847","3.6129","2.31%"
"Jan 25, 2015","3.6864","3.5191","3.6898","3.5164","4.73%"
"Jan 18, 2015","3.5200","3.5247","3.5906","3.4717","0.02%"
"Jan 11, 2015","3.5193","3.4866","3.5444","3.4381","1.15%"
"Jan 04, 2015","3.4793","3.5957","3.5969","3.4501","-3.16%"
"Dec 28, 2014","3.5930","3.6027","3.6543","3.5903","-0.34%"
"Dec 21, 2014","3.6052","3.6094","3.6366","3.5909","-0.25%"
"Dec 14, 2014","3.6141","3.6138","3.7986","3.5998","0.00%"
"Dec 07, 2014","3.6141","3.5236","3.6319","3.5120","2.57%"
"Nov 30, 2014","3.5234","3.4783","3.5339","3.4651","1.44%"
"Nov 23, 2014","3.4733","3.4783","3.5091","3.4602","-0.15%"
"Nov 16, 2014","3.4784","3.4933","3.5112","3.4622","-0.44%"
"Nov 09, 2014","3.4937","3.5829","3.6101","3.4865","-2.52%"
"Nov 02, 2014","3.5842","3.5480","3.6136","3.5429","0.74%"
"Oct 26, 2014","3.5579","3.5945","3.6166","3.5017","-0.90%"
"Oct 19, 2014","3.5903","3.6136","3.6372","3.5684","-0.68%"
"Oct 12, 2014","3.6148","3.6774","3.6810","3.6041","-1.75%"
"Oct 05, 2014","3.6792","3.6606","3.6919","3.6335","0.45%"
"Sep 28, 2014","3.6626","3.6769","3.7184","3.6483","-0.35%"
"Sep 21, 2014","3.6755","3.6401","3.6976","3.6372","0.98%"
"Sep 14, 2014","3.6399","3.6165","3.6869","3.5665","0.65%"
"Sep 07, 2014","3.6165","3.4981","3.6174","3.4815","2.60%"
"Aug 31, 2014","3.5250","3.5870","3.6036","3.5090","-1.86%"
"Aug 24, 2014","3.5918","3.6098","3.6197","3.5631","-0.37%"
"Aug 17, 2014","3.6050","3.6232","3.6408","3.5838","-0.37%"
"Aug 10, 2014","3.6183","3.5977","3.6489","3.5787","0.57%"
"Aug 03, 2014","3.5979","3.5825","3.6808","3.5732","0.26%"
"Jul 27, 2014","3.5885","3.5479","3.6280","3.5479","0.96%"
"Jul 20, 2014","3.5543","3.6298","3.6386","3.5438","-2.10%"
"Jul 13, 2014","3.6307","3.6240","3.6669","3.6098","0.13%"
"Jul 06, 2014","3.6261","3.6556","3.6667","3.6188","-0.92%"
"Jun 29, 2014","3.6599","3.6168","3.6745","3.6067","1.21%"
"Jun 22, 2014","3.6162","3.6390","3.6571","3.6063","-0.69%"
"Jun 15, 2014","3.6415","3.6077","3.6619","3.6051","1.09%"
"Jun 08, 2014","3.6021","3.4886","3.6134","3.4806","3.16%"
"Jun 01, 2014","3.4917","3.5142","3.5627","3.4835","-0.61%"
"May 25, 2014","3.5130","3.5019","3.5484","3.4806","0.23%"
"May 18, 2014","3.5050","3.5213","3.5726","3.4981","-0.73%"
"May 11, 2014","3.5309","3.4918","3.5374","3.4629","0.87%"
"May 04, 2014","3.5005","3.5472","3.5634","3.4959","-1.35%"
"Apr 27, 2014","3.5484","3.5850","3.6110","3.5276","-1.05%"
"Apr 20, 2014","3.5861","3.5734","3.6166","3.5631","0.19%"
"Apr 13, 2014","3.5793","3.5381","3.6063","3.5370","1.24%"
"Apr 06, 2014","3.5356","3.4981","3.5657","3.4764","0.90%"
"Mar 30, 2014","3.5041","3.6503","3.6514","3.4909","-3.87%"
"Mar 23, 2014","3.6453","3.6843","3.7058","3.6178","-1.00%"
"Mar 16, 2014","3.6822","3.6818","3.7161","3.6654","-0.05%"
